asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-LTP-N/A-001,LAPTOP (ACER),LAPTOP (ACER),In Storage,PAD,5,,
IL-LTP-N/A-002,LAPTOP (ACER),LAPTOP (ACER),Assigned,ROOM 306,5,,
IL-LTP-N/A-003,LAPTOP (LENOVO),LAPTOP (LENOVO),Assigned,303/BRIEFING,5,,
IL-LTP-N/A-004,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-005,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-006,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-007,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-008,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-009,LAPTOP (HP),LAPTOP (HP),Assigned,ROOM302/CARGO,5,,
IL-LTP-N/A-010,LAPTOP (ACER),LAPTOP (ACER),Assigned,ROOM 201,5,,
IL-LTP-N/A-011,LAPTOP(ACER),LAPTOP(ACER),Assigned,TRAINING/ONLINE,5,,
IL-LTP-N/A-012,LAPTOP(ACER),LAPTOP(ACER),Assigned,TRAINING/ONLINE,5,,
IL-LTP-N/A-013,LAPTOP (ACER),LAPTOP (ACER),Assigned,TRAINING,5,,
IL-LTP-N/A-014,LAPTOP (ACER),LAPTOP (ACER),Assigned,Core Service Manager,5,,
IL-LTP-N/A-015,LAPTOP (DELL),LAPTOP (DELL),Assigned,101/LCHS,5,,
IL-LTP-N/A-016,LAPTOP (ACER),LAPTOP (ACER),Assigned,101/LCHS,5,,
IL-LTP-N/A-017,LAPTOP (ACER),LAPTOP (ACER),Assigned,101/LCHS,5,,
IL-LTP-N/A-018,LAPTOP (DELL),LAPTOP (DELL),Assigned,101/LCHS,5,,
IL-LTP-N/A-019,LAPTOP (DELL),LAPTOP (DELL),Assigned,101/LCHS,5,,
IL-LTP-N/A-020,LAPTOP (DELL),LAPTOP (DELL),Assigned,101/LCHS,5,,
IL-LTP-N/A-021,LAPTOP (ACER),LAPTOP (ACER),Assigned,101/LCHS,5,,
IL-LTP-2024-022,LAPTOP (ACER),LAPTOP (ACER),Assigned,Core Service Manager,5,,
IL-LTP-N/A-023,Laptop(ACER),Laptop(ACER),Assigned,Quality Assurance,5,,
IL-LTP-N/A-024,Laptop(Lenovo),Laptop(Lenovo),Assigned,Admin,5,,
IL-LTP-N/A-025,LAPTOP(ACER),LAPTOP(ACER),Assigned,TD SUPERVISOR,5,,
IL-LTP-N/A-026,Laptop(ACER),Laptop(ACER),Assigned,Service Support,5,,
IL-LTP-N/A-027,Laptop(ASUS),Laptop(ASUS),Assigned,Registration,5,,
IL-LTP-N/A-028,Laptop(Lenovo),Laptop(Lenovo),Assigned,MARKETING,5,,
IL-LTP-N/A-029,Laptop(ASUS),Laptop(ASUS),Assigned,MARKETING,5,,
IL-LTP-N/A-030,Laptop(ACER),Laptop(ACER),Assigned,MARKETING,5,,
IL-LTP-N/A-031,LAPTOP(ACER),LAPTOP(ACER),Assigned,MARKETING,5,,
IL-LTP-N/A-032,Laptop(ACER),Laptop(ACER),Assigned,HR,5,,
IL-LTP-N/A-033,Laptop(Lenovo),Laptop(Lenovo),Assigned,Finance,5,,
IL-LTP-N/A-034,Laptop(ACER),Laptop(ACER),Assigned,Registration,5,,
IL-LTP-N/A-035,Laptop(ACER),Laptop(ACER),Assigned,Registration,5,,
IL-LTP-N/A-036,LAPTOP(Lenovo),LAPTOP(Lenovo),Assigned,REGISTRATION,5,,
IL-LTP-N/A-037,LAPTOP(Dell),LAPTOP(Dell),Assigned,REGISTRATION,5,,
PO-LTP-N/A-002,Laptop(ACER),Laptop(ACER),Assigned,ADMIN POTOTAN SITE,5,,
PO-LTP-N/A-001,LAPTOP(Dell),LAPTOP(Dell),Assigned,ADMIN POTOTAN SITE,5,,
PO-LTP-N/A-004,Laptop(ACER),Laptop(ACER),Assigned,ADMIN POTOTAN SITE,5,,
PO-LTP-N/A-003,Laptop(LENOVO),Laptop(LENOVO),Assigned,ADMIN POTOTAN SITE,5,,
IL-LTP-N/A-042,Laptop(LENOVO),Laptop(LENOVO),Assigned,Finance,5,,
IL-LTP-N/A-043,Laptop(???),Laptop(???),Assigned,MARKETING,5,,
IL-MTR-N/A-001,Monitor (ACER),Monitor (ACER),Assigned,PAD DEPT,5,,
IL-MTR-N/A-002,Monitor (DELL),Monitor (DELL),Assigned,PAD DEPT,5,,
IL-MTR-N/A-003,Monitor (NVISION),Monitor (NVISION),Assigned,ROOM 302,5,,
IL-MTR-N/A-004,Monitor (AOC),Monitor (AOC),Assigned,ROOM 203,5,,
IL-MTR-N/A-005,Monitor (BENQ),Monitor (BENQ),Assigned,ROOM 204,5,,
IL-MTR-N/A-006,MONITOR (DELL),MONITOR (DELL),Assigned,ERS INSTRUCTOR,5,,
IL-MTR-N/A-007,MONITOR(DELL),MONITOR(DELL),Assigned,ERS INSTRUCTOR,5,,
IL-MTR-N/A-008,MONITOR (DELL),MONITOR (DELL),Assigned,ERS Station 1,5,,
IL-MTR-N/A-009,MONITOR (DELL),MONITOR (DELL),Assigned,ERS Station 1,5,,
IL-MTR-N/A-010,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 2,5,,
IL-MTR-N/A-011,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 2,5,,
IL-MTR-N/A-012,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 3,5,,
IL-MTR-N/A-013,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 3,5,,
IL-MTR-N/A-014,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 4,5,,
IL-MTR-N/A-015,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 4,5,,
IL-MTR-N/A-016,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 5,5,,
IL-MTR-N/A-017,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 5,5,,
IL-MTR-N/A-018,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 6,5,,
IL-MTR-N/A-019,Monitor (DELL),Monitor (DELL),Assigned,ERS Station 6,5,,
IL-MTR-N/A-020,Monitor (AOC),Monitor (AOC),Assigned,ERS Station 7,5,,
IL-MTR-N/A-021,Monitor (AOC),Monitor (AOC),Assigned,ERS Station 7,5,,
IL-MTR-N/A-022,Monitor (INPLAY),Monitor (INPLAY),Assigned,ERS Station 8,5,,
IL-MTR-N/A-023,Monitor (INPLAY),Monitor (INPLAY),Assigned,ERS Station 8,5,,
IL-MTR-N/A-024,MONITOR (AOC),MONITOR (AOC),Assigned,ERS Station 8,5,,
IL-MTR-N/A-025,MONITOR (AOC),MONITOR (AOC),Assigned,ERS Station 8,5,,
IL-MTR-N/A-026,MONITOR (ACER),MONITOR (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-027,MONITOR (ACER),MONITOR (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-028,MONITOR (ACER),MONITOR (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-029,MONITOR (ACER),MONITOR (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-030,MONITOR (ACER),MONITOR (ACER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-031,MONITOR (AOC),MONITOR (AOC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-032,MONITOR (AOC),MONITOR (AOC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-033,MONITOR (AOC),MONITOR (AOC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-034,MONITOR (AOC),MONITOR (AOC),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MTR-N/A-035,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 1,5,,
IL-MTR-N/A-036,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 1,5,,
IL-MTR-N/A-037,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 1,5,,
IL-MTR-N/A-038,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 2,5,,
IL-MTR-N/A-039,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 2,5,,
IL-MTR-N/A-040,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 3,5,,
IL-MTR-N/A-041,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 3,5,,
IL-MTR-N/A-042,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 3,5,,
IL-MTR-N/A-043,MONITOR (DELL),MONITOR (DELL),Assigned,BRIDGE 4,5,,
